GDP,FER
10361.3,220.535833
9578.1,249.076667
10425.4,237.511667
10984.9,237.5225
11584.6,238.535833
17111.9,168.519833
20745.3,144.6375
25051.9,128.151667
24813.3,137.964417
25359.3,144.7925
28925,134.706667
31464.5,126.651333
35765.9,111.197786
39268.6,102.207806
43440.4,94.059579
38436.9,108.779057
35021.7,120.990863
31902.8,130.905301
36026.6,113.906805
38532,107.765498
33846.5,121.528948
32289.4,125.388019
34808.4,115.933464
37688.7,108.192569
37217.6,110.218212
35434,116.299312
35275.2,117.753529
39339.3,103.359494
40855.2,93.570089
44507.7,87.779875
48168,79.80702
48603.5,79.790455
40454.4,97.595658
38109.4,105.944781
34524.5,121.044026
38761.8,108.7929
38386.5,112.166141
39159.4,110.423179
40246.9,109.009666
