CHINA,INDIA,JAPAN,UK,SWITZERLAND,CANADA,year
1.8925419999999997,9.455132,249.076667,0.572447,2.030275,1.233735,1982
1.975675,10.098898,237.511667,0.659725,2.0991419999999996,1.232412,1983
2.320042,11.362583,237.5225,0.751807,2.349683,1.295066,1984
2.936658,12.36875,238.535833,0.779246,2.457125,1.365507,1985
3.4527919999999996,12.610833,168.519833,0.682197,1.7989169999999999,1.389471,1986
3.7221,12.9615,144.6375,0.611927,1.491192,1.325983,1987
3.7221,13.917082999999998,128.151667,0.56217,1.4633,1.230701,1988
3.765108,16.2255,137.964417,0.611173,1.635925,1.183972,1989
4.783208,17.5035,144.7925,0.563177,1.389158,1.166774,1990
5.323392,22.742433,134.70666699999998,0.5670149999999999,1.433992,1.145726,1991
5.5145919999999995,25.918083,126.65133300000001,0.569774,1.406218,1.208723,1992
5.761958,30.493291999999997,111.19778600000001,0.6667569999999999,1.477617,1.290088,1993
8.618742999999998,31.373742,102.207806,0.6534270000000001,1.367693,1.365673,1994
8.351417,32.427077000000004,94.059579,0.633668,1.182469,1.3724450000000001,1995
8.314175,35.433173,108.77905700000001,0.640958,1.23601,1.363522,1996
8.289817,36.313286,120.99086299999999,0.6108359999999999,1.4513129999999999,1.384598,1997
8.278958,41.259365,130.905301,0.603824,1.449813,1.4835049999999999,1998
8.27825,43.055428000000006,113.906805,0.618057,1.502155,1.4857049999999998,1999
8.278504,44.941604999999996,107.765498,0.660931,1.688843,1.485394,2000
8.277068,47.186414,121.528948,0.694655,1.687615,1.54884,2001
8.276958,48.610319,125.388019,0.667223,1.558607,1.570343,2002
8.277037,46.583284,115.93346399999999,0.612472,1.346651,1.401015,2003
8.276800999999999,45.316466999999996,108.19256899999999,0.54618,1.243496,1.301282,2004
8.194317,44.099975,110.21821200000001,0.549998,1.245177,1.2114049999999998,2005
7.973438000000001,45.307008,116.29931200000001,0.5434869999999999,1.253843,1.1343450000000002,2006
7.607532000000001,41.348533,117.753529,0.49977200000000005,1.200366,1.0740459999999998,2007
6.9486550000000005,43.505183,103.359494,0.543966,1.0830899999999999,1.0670870000000001,2008
6.831416,48.405266999999995,93.570089,0.6419189999999999,1.088142,1.141535,2009
6.770269,45.725812,87.779875,0.647179,1.0429059999999999,1.0301129999999998,2010
6.461461,46.670466999999995,79.80702,0.624141,0.888042,0.989258,2011
6.312333,53.437233,79.79045500000001,0.633047,0.937684,0.999365,2012
6.1957580000000005,58.59784499999999,97.595658,0.6396609999999999,0.9269040000000001,1.030137,2013
6.143434,61.029514,105.944781,0.60773,0.916151,1.104747,2014
6.227489,64.151944,121.044026,0.6545449999999999,0.9623809999999999,1.278786,2015
6.644477999999999,67.195313,108.7929,0.740634,0.9853940000000001,1.325615,2016
6.758755000000001,65.121569,112.166141,0.776977,0.984692,1.297936,2017
6.615957000000001,68.38946700000001,110.423179,0.749532,0.977883,1.2958180000000001,2018
6.908385000000001,70.419969,109.009666,0.783445,0.993841,1.326854,2019
,,,,,,2020
